year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201402,5329,94,50,23,15,12,11,94
201402,5331,94,50,23,15,12,11,94
201402,5333,94,50,23,15,12,11,94
201402,5334,94,50,23,15,12,11,94
201402,5401,64,57,31,1,4,5,64
201402,5421,64,57,31,1,4,5,64
201402,5422,64,57,31,1,4,5,64
201402,5423,64,57,31,1,4,5,64
201402,5424,64,57,31,1,4,5,64
201402,5425,64,57,31,1,4,5,64
201402,5426,64,57,31,1,4,5,64
201402,6101,213,135,8,23,30,21,213
201402,6102,209,122,24,24,49,36,209
201402,6103,265,142,20,22,29,31,265
201402,6104,185,104,16,13,23,15,185
201402,6105,213,114,11,15,34,13,213
201402,6106,168,96,12,18,30,18,168
201402,6107,214,127,13,21,31,23,214
201402,6108,214,127,13,21,31,23,214
201402,6109,214,127,13,21,31,23,214
201402,6110,214,127,13,21,31,23,214
201402,6201,133,77,26,22,17,13,133
201402,6202,111,117,86,18,26,11,117
201402,6203,125,102,25,8,47,13,125
201402,6204,127,90,38,18,25,12,127
201402,6205,127,90,38,18,25,12,127
201402,6206,127,90,38,18,25,12,127
201402,6207,127,90,38,18,25,12,127
201402,6208,127,90,38,18,25,12,127
201402,6209,127,90,38,18,25,12,127
201402,6210,127,90,38,18,25,12,127
201402,6211,127,90,38,18,25,12,127
201402,6212,127,90,38,18,25,12,127
201402,6229,127,90,38,18,25,12,127
201402,6230,127,90,38,18,25,12,127
201402,6301,154,86,26,11,18,12,154
201402,6321,186,109,25,16,25,19,186
201402,6322,186,109,25,16,25,19,186
201402,6323,186,109,25,16,25,19,186
201402,6325,186,109,25,16,25,19,186
201402,6326,226,136,24,22,33,28,226
201402,6327,186,109,25,16,25,19,186
201402,6328,186,109,25,16,25,19,186
201402,6401,134,76,31,21,45,11,134
201402,6402,152,103,28,15,46,12,152
201402,6403,140,84,30,19,46,11,140
201402,6404,140,84,30,19,46,11,140
201402,6405,140,84,30,19,46,11,140
201402,6501,153,95,8,39,26,26,153
201402,6502,144,73,23,20,4,8,144
201402,6521,148,91,10,35,21,22,148
201402,6522,148,91,10,35,21,22,148
201402,6523,148,91,10,35,21,22,148
201402,6527,148,91,10,35,21,22,148
201402,6528,130,129,17,20,9,6,130
201402,6529,148,91,10,35,21,22,148
201402,6530,148,91,10,35,21,22,148
201402,6531,148,91,10,35,21,22,148
201402,6532,148,91,10,35,21,22,148
201402,6540,148,91,10,35,21,22,148
201402,6542,109,52,4,16,4,3,109
201402,6543,148,91,10,35,21,22,148
201402,659001,148,91,10,35,21,22,148
201402,659002,148,91,10,35,21,22,148
201402,659003,148,91,10,35,21,22,148
201402,659004,148,91,10,35,21,22,148
201402,6655,-1,-1,-1,-1,-1,-1,-1
201402,6656,-1,-1,-1,-1,-1,-1,-1
201402,6657,-1,-1,-1,-1,-1,-1,-1
201402,6658,-1,-1,-1,-1,-1,-1,-1
201402,6659,-1,-1,-1,-1,-1,-1,-1
201402,6660,-1,-1,-1,-1,-1,-1,-1
201402,6661,-1,-1,-1,-1,-1,-1,-1
201402,6662,-1,-1,-1,-1,-1,-1,-1
201402,6663,-1,-1,-1,-1,-1,-1,-1
201402,6664,-1,-1,-1,-1,-1,-1,-1
201402,6665,-1,-1,-1,-1,-1,-1,-1
201402,6666,-1,-1,-1,-1,-1,-1,-1
201402,6667,-1,-1,-1,-1,-1,-1,-1
201402,6668,-1,-1,-1,-1,-1,-1,-1
201402,6669,-1,-1,-1,-1,-1,-1,-1
201402,6670,-1,-1,-1,-1,-1,-1,-1
